Year,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015
Participation Accounts,"2,957,714,000","2,100,000,000","1,500,000,000","891,000,000","556,400,000","325,000,000","175,000,000","130,000,000","105,000,000","85,000,000","75,000,000"
Special Current Accounts,"700,487,000","591,089,000","389,828,000","247,740,000","140,478,000","74,168,000","44,559,000","29,123,000","22,913,000","19,534,000","15,291,000"
Term Participation Accounts,"2,218,000,000","1,650,000,000","1,100,000,000","650,000,000","415,000,000","235,000,000","125,000,000","92,000,000","75,000,000","60,000,000","52,500,000"
1_Month Term Accounts,"1,478,000,000","970,200,000","687,000,000","378,675,000","301,568,000","181,350,000","98,875,000","74,360,000","61,425,000","50,830,000","45,900,000"
3_Month Term Accounts,"740,000,000","216,300,000","168,000,000","251,262,000","67,324,000","37,375,000","21,700,000","17,030,000","14,175,000","12,070,000","11,100,000"
6_Month Term Accounts,"443,000,000","352,800,000","262,500,000","131,868,000","85,685,000","49,400,000","25,900,000","18,460,000","14,700,000","11,475,000","9,375,000"
12_Month Term Accounts,"296,000,000","426,300,000","292,500,000","93,555,000","82,347,000","46,475,000","23,625,000","16,900,000","12,075,000","8,670,000","7,125,000"
Deposits by Customer Type/ Retail,"2,011,245,000","1,428,000,000","1,020,000,000","605,880,000","378,352,000","221,000,000","119,000,000","88,390,000","71,400,000","55,450,000","51,000,000"
Deposits by Customer Type/ Corporate,"946,469,000","672,000,000","480,000,000","285,120,000","178,048,000","104,000,000","56,000,000","41,598,000","3,600,000","26,097,000","24,000,000"
Deposits by Currency (TL),"1,833,782,000","1,289,400,000","921,000,000","490,000,000","211,400,000","123,500,000","73,500,000","58,500,000","54,600,000","45,600,000","42,000,000"
